PO_ID,Vendor_ID,Vendor_Name,PO_Date,Delivery_Date,SKU,Quantity,Unit_Price,Currency,Total,Status,Approver
PO-2024-0002,V-1080,Oasis Commercial Trading LLC,2024-07-01,2024-07-31,CM-4012,1000,42.54,SAR,42540.0,Closed,tariq.alghamdi@tamween.sa
PO-2024-0087,V-1162,Tatweer Marketing Co,2024-07-01,2024-07-20,BV-2011,1000,48.51,SAR,48510.0,Closed,noor.alshamri@tamween.sa
PO-2024-0120,V-1061,Al-Rajhi Marketing LLC,2024-07-01,2024-07-21,HH-3015,1000,38.26,SAR,38260.0,Closed,ahmad.alqahtani@tamween.sa
PO-2024-0261,V-1140,Falcon Cosmetics LLC,2024-07-01,2024-07-22,HH-3009,500,12.2,SAR,6100.0,Closed,tariq.alghamdi@tamween.sa
PO-2024-0360,V-1056,Bayt Beverages Co,2024-07-01,2024-07-28,HH-3012,250,46.47,SAR,11617.5,Closed,hala.alsaud@tamween.sa
PO-2024-0388,V-1028,Rashid Trading Co LLC,2024-07-01,2024-07-28,BV-2013,3000,39.77,SAR,119310.0,Closed,mona.aldakhil@tamween.sa
PO-2024-0405,V-1123,Faridi Packaging Company,2024-07-01,2024-07-31,HH-3007,250,20.75,SAR,5187.5,Closed,khalid.almutairi@tamween.sa
PO-2024-0032,V-1175,Desert Manufacturing Co,2024-07-02,2024-07-29,FG-1008,250,50.38,SAR,12595.0,Closed,tariq.alghamdi@tamween.sa
PO-2024-0365,V-1115,Watani Snacks Group,2024-07-02,2024-07-18,BV-2013,5000,33.55,SAR,167750.0,Closed,khalid.almutairi@tamween.sa
PO-2024-0095,V-1097,Kayan Hygiene Ltd,2024-07-03,2024-07-23,HH-3009,500,44.19,SAR,22095.0,Closed,tariq.alghamdi@tamween.sa
PO-2024-0136,V-1190,Arkan Trading Trading LLC,2024-07-03,2024-07-20,CM-4001,1500,12.19,SAR,18285.0,Closed,hala.alsaud@tamween.sa
PO-2024-0223,V-1136,Premier Cleaning Group,2024-07-03,2024-07-28,FG-1023,3000,52.79,SAR,158370.0,Closed,yousef.alsubaie@tamween.sa
PO-2024-0244,V-1031,Noor Snacks Ltd,2024-07-03,2024-07-24,FG-1024,5000,42.04,SAR,210200.0,Closed,layla.alotaibi@tamween.sa
PO-2024-0033,V-1202,Al-Faisal Exports Co LLC,2024-07-04,2024-07-15,CM-4005,4200,35.28,SAR,148176.0,Closed,noor.alshamri@tamween.sa
PO-2024-0380,V-1079,Ibn Sina Materials Trading Ltd,2024-07-05,2024-07-20,FG-1008,250,17.86,SAR,4465.0,Closed,fahad.albalawi@tamween.sa
PO-2024-0404,V-1050,Solo Commercial Ltd,2024-07-05,2024-07-30,FG-1027,1000,41.6,SAR,41600.0,Closed,reem.alharbi@tamween.sa
PO-2024-0018,V-1105,Amwaj Marketing Company,2024-07-06,2024-07-21,BV-2023,500,52.03,SAR,26015.0,Closed,noor.alshamri@tamween.sa
PO-2024-0383,V-1047,Tihama Wines & Spirits Co,2024-07-06,2024-07-29,BV-2019,4200,24.47,SAR,102774.0,Closed,sara.aldosari@tamween.sa
PO-2024-0138,V-1000,Arkan Snacks Co LLC,2024-07-07,2024-07-17,BV-2011,500,29.66,SAR,14830.0,Closed,mona.aldakhil@tamween.sa
PO-2024-0229,V-1172,Amwaj Commercial Company,2024-07-07,2024-08-01,CM-4003,1000,27.28,SAR,27280.0,Closed,hala.alsaud@tamween.sa
PO-2024-0361,V-1041,Sahara Distribution Ltd,2024-07-07,2024-07-25,CM-4008,500,20.91,SAR,10455.0,Closed,reem.alharbi@tamween.sa
PO-2024-0181,V-1043,Mada Foods Co LLC,2024-07-08,2024-08-05,CM-4015,4200,8.61,SAR,36162.0,Closed,yousef.alsubaie@tamween.sa
PO-2024-0234,V-1190,Arkan Trading Trading LLC,2024-07-08,2024-07-24,HH-3004,500,45.12,SAR,22560.0,Closed,omar.faridi@tamween.sa
PO-2024-0351,V-1023,Misr Pharma Products Co LLC,2024-07-08,2024-07-18,BV-2007,3000,22.24,SAR,66720.0,Closed,omar.faridi@tamween.sa
PO-2024-0007,V-1138,Arabian Wines & Spirits Group,2024-07-09,2024-08-04,BV-2018,2000,45.76,SAR,91520.0,Closed,mona.aldakhil@tamween.sa
PO-2024-0148,V-1049,Mediterranean Wines & Spirits Trading LLC,2024-07-09,2024-07-22,FG-1012,5000,28.35,SAR,141750.0,Closed,hala.alsaud@tamween.sa
PO-2024-0227,V-1181,Gulf Hygiene Group,2024-07-09,2024-07-30,BV-2019,1500,36.31,SAR,54465.0,Closed,sara.aldosari@tamween.sa
PO-2024-0334,V-1137,Kayan Dairy Co LLC,2024-07-09,2024-07-22,FG-1024,500,47.15,SAR,23575.0,Closed,mona.aldakhil@tamween.sa
PO-2024-0027,V-1163,Tabuk Group Company,2024-07-10,2024-07-30,HH-3010,1500,46.45,SAR,69675.0,Closed,tariq.alghamdi@tamween.sa
PO-2024-0195,V-1112,Watani Solutions Company,2024-07-10,2024-07-26,HH-3024,2000,37.84,SAR,75680.0,Closed,yousef.alsubaie@tamween.sa
PO-2024-0198,V-1154,Maghrib Cosmetics LLC,2024-07-10,2024-07-29,CM-4013,5000,38.27,SAR,191350.0,Closed,ahmad.alqahtani@tamween.sa
PO-2024-0233,V-1075,Bordeaux Enterprises Ltd,2024-07-10,2024-08-05,CM-4012,500,24.38,SAR,12190.0,Closed,sara.aldosari@tamween.sa
PO-2024-0300,V-1065,Zahra Industries Company,2024-07-10,2024-08-09,BV-2021,500,34.92,SAR,17460.0,Closed,reem.alharbi@tamween.sa
PO-2024-0013,V-1013,Levant Co Ltd,2024-07-11,2024-07-26,BV-2002,1500,38.04,SAR,57060.0,Closed,khalid.almutairi@tamween.sa
PO-2024-0050,V-1014,Al-Faisal Exports Co,2024-07-11,2024-07-24,HH-3009,2000,4.65,SAR,9300.0,Closed,tariq.alghamdi@tamween.sa
PO-2024-0028,V-1163,Tabuk Group Company,2024-07-12,2024-07-24,BV-2008,5000,6.72,SAR,33600.0,Closed,layla.alotaibi@tamween.sa
PO-2024-0030,V-1105,Amwaj Marketing Company,2024-07-12,2024-08-08,BV-2007,250,5.03,SAR,1257.5,Closed,mona.aldakhil@tamween.sa
PO-2024-0214,V-1057,Zahra Industries Group,2024-07-12,2024-07-25,CM-4007,2000,35.99,SAR,71980.0,Closed,reem.alharbi@tamween.sa
PO-2024-0263,V-1029,Olaya Hygiene LLC,2024-07-12,2024-07-26,FG-1021,4200,20.79,SAR,87318.0,Closed,khalid.almutairi@tamween.sa
PO-2024-0067,V-1070,Bayt Confectionery Co,2024-07-13,2024-08-12,HH-3022,500,49.44,SAR,24720.0,Closed,khalid.almutairi@tamween.sa
PO-2024-0073,V-1030,Bayt Foods Company,2024-07-13,2024-08-11,HH-3019,2000,51.71,SAR,103420.0,Closed,ahmad.alqahtani@tamween.sa
PO-2024-0314,V-1064,Mada Industries Trading LLC,2024-07-13,2024-08-07,FG-1022,1500,58.84,SAR,88260.0,Closed,khalid.almutairi@tamween.sa
PO-2024-0191,V-1049,Mediterranean Wines & Spirits Trading LLC,2024-07-14,2024-08-02,HH-3017,4200,47.27,SAR,198534.0,Closed,sara.aldosari@tamween.sa
PO-2024-0106,V-1152,Tatweer Commercial Ltd,2024-07-15,2024-08-04,FG-1009,500,37.12,SAR,18560.0,Closed,mona.aldakhil@tamween.sa
PO-2024-0242,V-1118,Diyar Foods LLC,2024-07-15,2024-08-06,BV-2013,250,55.63,SAR,13907.5,Closed,yousef.alsubaie@tamween.sa
PO-2024-0407,V-1036,Nile Marketing LLC,2024-07-15,2024-07-25,FG-1018,1500,42.42,SAR,63630.0,Closed,omar.faridi@tamween.sa
PO-2024-0103,V-1129,Arkan Cleaning Trading LLC,2024-07-16,2024-08-01,FG-1024,1000,24.53,SAR,24530.0,Closed,omar.faridi@tamween.sa
PO-2024-0142,V-1154,Maghrib Cosmetics LLC,2024-07-16,2024-08-11,FG-1028,1500,18.68,SAR,28020.0,Closed,sara.aldosari@tamween.sa
PO-2024-0352,V-1049,Mediterranean Wines & Spirits Trading LLC,2024-07-16,2024-08-07,CM-4007,5000,10.06,SAR,50300.0,Closed,yousef.alsubaie@tamween.sa
PO-2024-0277,V-1080,Oasis Commercial Trading LLC,2024-07-17,2024-08-04,CM-4019,1000,40.0,SAR,40000.0,Closed,noor.alshamri@tamween.sa
PO-2024-0280,V-1129,Arkan Cleaning Trading LLC,2024-07-17,2024-08-03,FG-1025,2000,35.0,SAR,70000.0,Closed,fahad.albalawi@tamween.sa
PO-2024-0044,V-1205,Al-Faisal Confectionery Co LLC,2024-07-18,2024-08-16,FG-1011,5000,35.3,SAR,176500.0,Closed,khalid.almutairi@tamween.sa
PO-2024-0068,V-1164,Mada Services Ltd,2024-07-18,2024-07-30,BV-2012,1000,15.61,SAR,15610.0,Closed,sara.aldosari@tamween.sa
PO-2024-0248,V-1069,Amwaj Supply Chain LLC,2024-07-18,2024-07-28,CM-4018,500,43.03,SAR,21515.0,Closed,sara.aldosari@tamween.sa
PO-2024-0298,V-1043,Mada Foods Co LLC,2024-07-18,2024-08-02,BV-2011,4200,18.17,SAR,76314.0,Closed,sara.aldosari@tamween.sa
PO-2024-0408,V-1077,Arkan Foodstuff Ltd,2024-07-18,2024-08-15,FG-1013,3000,24.55,SAR,73650.0,Closed,yousef.alsubaie@tamween.sa
PO-2024-0354,V-1114,Al-Rajhi Materials Trading Ltd,2024-07-19,2024-07-30,BV-2019,3000,59.48,SAR,178440.0,Closed,mona.aldakhil@tamween.sa
PO-2024-0206,V-1150,Oasis Enterprises Ltd,2024-07-20,2024-08-13,FG-1009,250,19.82,SAR,4955.0,Closed,omar.faridi@tamween.sa
PO-2024-0419,V-1024,Al-Rajhi Confectionery Co,2024-07-20,2024-08-17,HH-3019,5000,11.14,SAR,55700.0,Closed,reem.alharbi@tamween.sa
PO-2024-0035,V-1023,Misr Pharma Products Co LLC,2024-07-21,2024-08-08,BV-2018,1500,9.36,SAR,14040.0,Closed,layla.alotaibi@tamween.sa
PO-2024-0098,V-1085,Watani Snacks Co,2024-07-23,2024-08-17,HH-3011,250,5.94,SAR,1485.0,Closed,reem.alharbi@tamween.sa
PO-2024-0188,V-1086,Khaleej Confectionery Company,2024-07-24,2024-08-11,CM-4011,4200,5.14,SAR,21588.0,Closed,sara.aldosari@tamween.sa
PO-2024-0097,V-1176,Jamal Services Co LLC,2024-07-25,2024-08-09,CM-4011,1500,34.85,SAR,52275.0,Closed,mona.aldakhil@tamween.sa
PO-2024-0193,V-1152,Tatweer Commercial Ltd,2024-07-25,2024-08-24,BV-2002,5000,6.84,SAR,34200.0,Closed,khalid.almutairi@tamween.sa
PO-2024-0180,V-1096,Oasis Exports Trading LLC,2024-07-26,2024-08-12,HH-3021,1500,10.66,SAR,15990.0,Closed,khalid.almutairi@tamween.sa
